days_since_Jan1_2010,PRCP,SNOW,SNWD,TMAX,TMIN,,
0,0,0,0,44,29,,0
1,0,0,0,30,20,,1
2,0,0,0,28,16,,
3,0,0,0,34,23,,
4,0,0,0,37,27,,
5,0,0,0,39,29,,
6,0,0,0,39,29,,
7,0.03,1,1,32,23,,
8,0,0,0,36,23,,
9,0,0,0,32,19,,
10,0,0,0,36,20,,
11,0,0,0,35,29,,
12,0,0,0,44,27,,
13,0,0,0,50,26,,
14,0,0,0,57,28,,
15,0,0,0,52,31,,
16,0.68,0,0,45,37,,
17,0,0,0,56,37,,
18,0,0,0,60,33,,
19,0.03,0,0,44,35,,
20,0.08,0,0,44,31,,
21,0.03,0,0,44,36,,
22,0,0,0,47,31,,
23,0.1,0,0,57,36,,
24,0.28,0,0,68,46,,
25,0,0,0,47,35,,
26,0,0,0,45,31,,
27,0,0,0,54,26,,
28,0,0,0,27,20,,
29,0.33,6.4,0,23,18,,
30,0,0,6,33,16,,
31,0,0,4,39,20,,
32,0.2,2.1,2,41,27,,
33,0.06,1.2,5,42,30,,
34,0,0,1,41,31,,
35,0.77,8.7,0,37,32,,
36,0.73,9.1,13,32,21,,
37,0,0,18,32,16,,
38,0,0,14,34,21,,
39,0.38,3.7,13,36,22,,
40,0.25,7.1,17,31,20,,
41,0,0,21,40,30,,
42,0,0,17,38,29,,
43,0,0,15,34,28,,
44,0,0,14,41,21,,
45,0.04,0.1,13,39,19,,
46,0,0,12,37,28,,
47,0,0,10,37,25,,
48,0,0,9,43,34,,
49,0,0,7,45,36,,
50,0,0,6,44,34,,
51,0,0,4,50,30,,
52,0.27,0,1,43,36,,
53,0,0,0,45,37,,
54,0,0,0,47,37,,
55,0.01,0,0,43,31,,
56,0,0,0,39,30,,
57,0.01,0.1,0,47,31,,
58,0,0,0,47,36,,
59,0,0,0,50,37,,
60,0.06,0,0,43,36,,
61,0,0,0,42,37,,
62,0,0,0,48,35,,
63,0,0,0,52,36,,
64,0,0,0,54,33,,
65,0,0,0,59,38,,
66,0,0,0,62,37,,
67,0,0,0,64,39,,
68,0,0,0,65,43,,
69,0,0,0,65,46,,
70,0.61,0,0,55,48,,
71,0.6,0,0,55,48,,
72,0.31,0,0,52,49,,
73,0.05,0,0,50,46,,
74,0,0,0,64,45,,
75,0,0,0,68,41,,
76,0,0,0,71,41,,
77,0,0,0,73,44,,
78,0,0,0,74,46,,
79,0,0,0,76,49,,
80,0.53,0,0,65,51,,
81,0.01,0,0,54,45,,
82,0,0,0,68,48,,
83,0.02,0,0,74,47,,
84,0.32,0,0,56,38,,
85,0,0,0,49,33,,
86,0.8,0,0,62,38,,
87,0.22,0,0,57,51,,
88,0.02,0,0,57,45,,
89,0,0,0,71,49,,
90,0,0,0,74,46,,
91,0,0,0,77,53,,
92,0,0,0,73,49,,
93,0,0,0,77,54,,
94,0,0,0,83,55,,
95,0,0,0,90,62,,
96,0,0,0,90,63,,
97,0.62,0,0,83,56,,
98,0.07,0,0,59,46,,
99,0,0,0,66,43,,
100,0,0,0,76,46,,
101,0,0,0,73,54,,
102,0.12,0,0,58,48,,
103,0,0,0,64,45,,
104,0,0,0,73,44,,
105,0,0,0,85,57,,
106,0,0,0,69,46,,
107,0,0,0,59,41,,
108,0,0,0,66,46,,
109,0,0,0,69,47,,
110,0.22,0,0,57,53,,
111,0,0,0,74,50,,
112,0,0,0,73,53,,
113,0.05,0,0,63,54,,
114,0.12,0,0,77,53,,
115,0.3,0,0,62,54,,
116,0,0,0,65,46,,
117,0,0,0,60,43,,
118,0,0,0,72,44,,
119,0,0,0,83,49,,
120,0,0,0,88,61,,
121,0,0,0,87,71,,
122,0.23,0,0,83,70,,
123,0,0,0,84,65,,
124,0,0,0,83,59,,
125,0,0,0,84,66,,
126,0,0,0,77,59,,
127,0,0,0,79,55,,
128,0,0,0,63,49,,
129,0,0,0,66,43,,
130,0.11,0,0,57,46,,
131,0,0,0,79,55,,
132,0,0,0,63,52,,
133,0.14,0,0,89,59,,
134,0,0,0,79,64,,
135,0,0,0,76,62,,
136,0.49,0,0,64,53,,
137,0.14,0,0,61,52,,
138,0,0,0,68,51,,
139,0,0,0,83,54,,
140,0,0,0,86,58,,
141,0.06,0,0,78,64,,
142,0.64,0,0,74,67,,
143,0,0,0,79,66,,
144,0,0,0,81,66,,
145,0,0,0,90,63,,
146,0.26,0,0,93,69,,
147,0.33,0,0,76,66,,
148,0,0,0,79,66,,
149,0,0,0,89,68,,
150,0,0,0,91,71,,
151,0.06,0,0,87,73,,
152,0,0,0,89,71,,
153,0.33,0,0,92,71,,
154,0,0,0,89,70,,
155,0,0,0,91,73,,
156,0.03,0,0,91,69,,
157,0,0,0,78,63,,
158,0,0,0,79,60,,
159,0.06,0,0,76,66,,
160,0.05,0,0,90,70,,
161,0,0,0,86,67,,
162,0,0,0,93,69,,
163,0,0,0,94,73,,
164,0.27,0,0,91,75,,
165,0.01,0,0,82,72,,
166,0.02,0,0,82,71,,
167,0,0,0,87,72,,
168,0,0,0,87,65,,
169,0,0,0,93,70,,
170,0,0,0,95,76,,
171,0,0,0,93,76,,
172,0.25,0,0,96,73,,
173,0,0,0,97,74,,
174,0,0,0,100,78,,
175,0,0,0,92,76,,
176,0,0,0,95,73,,
177,0,0,0,99,75,,
178,0.79,0,0,97,73,,
179,0,0,0,92,78,,
180,0,0,0,81,67,,
181,0,0,0,81,65,,
182,0,0,0,83,63,,
183,0,0,0,87,63,,
184,0,0,0,94,67,,
185,0,0,0,99,73,,
186,0,0,0,102,77,,
187,0,0,0,102,80,,
188,0,0,0,95,80,,
189,0.02,0,0,93,76,,
190,1.17,0,0,83,74,,
191,0,0,0,92,73,,
192,0.4,0,0,87,73,,
193,1.86,0,0,87,73,,
194,0.34,0,0,90,73,,
195,0,0,0,92,74,,
196,0.01,0,0,98,76,,
197,0,0,0,93,77,,
198,0,0,0,95,75,,
199,0.03,0,0,92,77,,
200,0,0,0,93,75,,
201,0,0,0,93,75,,
202,0,0,0,96,79,,
203,0,0,0,98,77,,
204,0,0,0,101,81,,
205,0.64,0,0,99,75,,
206,0,0,0,89,75,,
207,0,0,0,87,72,,
208,0,0,0,93,75,,
209,0.7,0,0,94,76,,
210,0,0,0,86,70,,
211,0,0,0,86,71,,
212,0.05,0,0,82,68,,
213,0,0,0,83,71,,
214,0,0,0,86,74,,
215,0.08,0,0,94,77,,
216,0.47,0,0,96,75,,
217,0,0,0,91,72,,
218,0,0,0,87,68,,
219,0,0,0,91,70,,
220,0,0,0,93,75,,
221,0,0,0,98,76,,
222,0,0,0,97,80,,
223,0.98,0,0,88,73,,
224,0.18,0,0,80,73,,
225,0,0,0,84,69,,
226,0.16,0,0,80,74,,
227,0,0,0,91,74,,
228,0,0,0,93,75,,
229,0.52,0,0,82,69,,
230,0,0,0,88,72,,
231,0,0,0,92,71,,
232,0,0,0,88,74,,
233,0.15,0,0,89,76,,
234,0,0,0,86,72,,
235,0,0,0,75,68,,
236,0,0,0,83,66,,
237,0,0,0,87,68,,
238,0,0,0,83,66,,
239,0,0,0,89,68,,
240,0,0,0,92,70,,
241,0,0,0,96,73,,
242,0,0,0,96,71,,
243,0,0,0,97,75,,
244,0,0,0,95,74,,
245,0,0,0,91,77,,
246,0,0,0,85,70,,
247,0,0,0,82,61,,
248,0,0,0,87,62,,
249,0,0,0,94,69,,
250,0,0,0,96,71,,
251,0,0,0,81,65,,
252,0,0,0,78,61,,
253,0,0,0,80,57,,
254,0.67,0,0,73,64,,
255,0,0,0,85,63,,
256,0,0,0,84,64,,
257,0,0,0,86,62,,
258,0.03,0,0,92,67,,
259,0.01,0,0,82,64,,
260,0,0,0,79,58,,
261,0,0,0,85,61,,
262,0,0,0,81,64,,
263,0,0,0,80,56,,
264,0,0,0,95,67,,
265,0,0,0,93,71,,
266,0,0,0,99,72,,
267,0,0,0,93,74,,
268,0.1,0,0,76,63,,
269,0.2,0,0,78,64,,
270,0,0,0,84,65,,
271,0.35,0,0,69,61,,
272,4.66,0,0,81,66,,
273,0.03,0,0,75,60,,
274,0,0,0,72,52,,
275,0.4,0,0,67,53,,
276,0.38,0,0,57,50,,
277,0,0,0,63,50,,
278,0.03,0,0,63,52,,
279,0,0,0,77,51,,
280,0,0,0,79,53,,
281,0,0,0,83,54,,
282,0,0,0,78,55,,
283,0,0,0,88,62,,
284,0,0,0,83,63,,
285,0,0,0,71,54,,
286,1.26,0,0,61,53,,
287,0,0,0,65,50,,
288,0,0,0,68,50,,
289,0,0,0,76,48,,
290,0.01,0,0,68,54,,
291,0,0,0,63,53,,
292,0.02,0,0,59,51,,
293,0,0,0,70,50,,
294,0,0,0,60,45,,
295,0,0,0,70,42,,
296,0,0,0,73,55,,
297,0,0,0,76,58,,
298,0,0,0,74,63,,
299,1.27,0,0,75,68,,
300,0,0,0,79,53,,
301,0,0,0,58,47,,
302,0,0,0,60,40,,
303,0,0,0,67,47,,
304,0,0,0,55,41,,
305,0,0,0,54,38,,
306,0.13,0,0,57,41,,
307,1.31,0,0,52,47,,
308,0,0,0,58,45,,
309,0,0,0,54,39,,
310,0,0,0,53,36,,
311,0,0,0,64,41,,
312,0,0,0,63,44,,
313,0,0,0,64,46,,
314,0,0,0,63,42,,
315,0,0,0,66,36,,
316,0,0,0,68,37,,
317,0,0,0,65,40,,
318,0.17,0,0,59,48,,
319,0.31,0,0,64,50,,
320,0.23,0,0,65,46,,
321,0,0,0,59,42,,
322,0,0,0,54,38,,
323,0,0,0,66,40,,
324,0,0,0,58,42,,
325,0,0,0,61,49,,
326,0,0,0,69,52,,
327,0,0,0,56,42,,
328,0.03,0,0,55,43,,
329,0.01,0,0,61,40,,
330,0,0,0,48,33,,
331,0,0,0,50,33,,
332,0,0,0,52,32,,
333,0.03,0,0,63,48,,
334,0.78,0,0,65,36,,
335,0,0,0,43,32,,
336,0,0,0,43,34,,
337,0,0,0,43,31,,
338,0,0,0,41,32,,
339,0,0,0,39,30,,
340,0,0,0,36,28,,
341,0,0,0,37,26,,
342,0,0,0,37,26,,
343,0,0,0,39,27,,
344,0.05,0,0,47,30,,
345,0.77,0,0,45,38,,
346,0,0.2,0,40,22,,
347,0,0,0,28,22,,
348,0,0,0,34,21,,
349,0.17,1.5,2,27,21,,
350,0,0,0,39,22,,
351,0,0,0,36,23,,
352,0,0,0,38,27,,
353,0,0,0,38,25,,
354,0,0,0,41,29,,
355,0,0,0,45,34,,
356,0,0,0,44,32,,
357,0,0,0,41,31,,
358,0,0,0,36,32,,
359,0.01,0.4,0,33,28,,
360,0,0,0,37,27,,
361,0,0,0,46,28,,
362,0,0,0,48,30,,
363,0,0,0,47,28,,
364,0,0,0,50,32,,
365,0.01,0,0,58,34,,
366,0.06,0,0,59,34,,
367,0,0,0,41,28,,
368,0,0,0,43,25,,
369,0,0,0,43,31,,
370,0,0,0,41,28,,
371,0,0,0,35,31,,
372,0.02,0.4,0,35,24,,
373,0,0,0,36,23,,
374,0,0,0,35,25,,
375,0.11,1,0,34,28,,
376,0,0,1,36,27,,
377,0,0,0,37,26,,
378,0,0,0,37,23,,
379,0,0,0,46,28,,
380,0,0,0,42,31,,
381,0.24,0.2,0,33,29,,
382,0.19,0,0,36,30,,
383,0.02,0,0,53,35,,
384,0,0,0,44,35,,
385,0.01,0.1,0,39,20,,
386,0,0,0,28,17,,
387,0,0,0,32,18,,
388,0,0,0,32,17,,
389,0,0,0,46,29,,
390,1.52,5,0,37,33,,
391,0,0,4,37,31,,
392,0.07,0.6,4,38,30,,
393,0,0,4,37,29,,
394,0,0,3,44,27,,
395,0,0,2,37,29,,
396,0.1,0,2,38,29,,
397,0.66,0,1,52,34,,
398,0,0,1,37,29,,
399,0,0,0,42,28,,
400,0.14,0,0,42,34,,
401,0,0,0,49,36,,
402,0,0,0,50,30,,
403,0.01,0,0,41,25,,
404,0.01,0.1,0,33,19,,
405,0,0,0,34,24,,
406,0,0,0,44,22,,
407,0,0,0,47,23,,
408,0,0,0,54,32,,
409,0,0,0,70,43,,
410,0,0,0,47,33,,
411,0,0,0,58,32,,
412,0,0,0,72,43,,
413,0,0,0,77,52,,
414,0,0,0,59,39,,
415,0,0,0,50,32,,
416,0.14,0.2,0,55,30,,
417,0.07,0.2,0,37,27,,
418,0,0,0,46,25,,
419,0.06,0,0,53,31,,
420,0.27,0,0,67,37,,
421,0,0,0,49,35,,
422,0,0,0,60,36,,
423,0.66,0,0,72,42,,
424,0,0,0,47,33,,
425,0,0,0,64,34,,
426,0,0,0,41,27,,
427,0,0,0,50,30,,
428,0,0,0,60,41,,
429,1.39,0,0,58,33,,
430,0.02,0,0,48,33,,
431,0,0,0,52,32,,
432,0.04,0,0,48,36,,
433,1.41,0,0,56,46,,
434,0.02,0,0,49,39,,
435,0,0,0,58,34,,
436,0,0,0,59,39,,
437,0,0,0,53,37,,
438,0.23,0,0,51,35,,
439,0.41,0,0,57,41,,
440,0,0,0,64,43,,
441,0,0,0,80,48,,
442,0,0,0,68,47,,
443,0,0,0,54,38,,
444,0.19,0,0,70,43,,
445,0,0,0,62,49,,
446,0.43,0,0,52,44,,
447,0.05,0,0,44,37,,
448,0,0,0,49,32,,
449,0,0,0,47,32,,
450,0.02,0.2,0,46,31,,
451,0,0,0,47,31,,
452,0,0,0,51,34,,
453,0.15,0,0,48,38,,
454,0.04,0,0,42,37,,
455,0.08,0,0,50,37,,
456,0.04,0,0,52,36,,
457,0,0,0,60,40,,
458,0,0,0,85,49,,
459,0.42,0,0,72,41,,
460,0,0,0,64,36,,
461,0,0,0,69,45,,
462,0.35,0,0,51,43,,
463,0.01,0,0,51,42,,
464,0,0,0,63,49,,
465,0,0,0,84,56,,
466,0.19,0,0,72,52,,
467,0.31,0,0,59,49,,
468,0,0,0,71,46,,
469,0,0,0,65,48,,
470,0.6,0,0,63,49,,
471,0,0,0,67,47,,
472,0,0,0,74,51,,
473,0.01,0,0,68,56,,
474,0,0,0,86,52,,
475,0,0,0,65,48,,
476,0.36,0,0,50,43,,
477,0.05,0,0,70,44,,
478,0.74,0,0,85,57,,
479,0,0,0,83,58,,
480,0,0,0,83,64,,
481,0.01,0,0,80,66,,
482,0.03,0,0,77,61,,
483,0,0,0,70,54,,
484,0,0,0,68,51,,
485,0.01,0,0,61,51,,
486,0,0,0,77,55,,
487,0.02,0,0,81,62,,
488,0.56,0,0,62,46,,
489,0,0,0,68,46,,
490,0,0,0,71,46,,
491,0,0,0,72,51,,
492,0,0,0,74,54,,
493,0,0,0,73,53,,
494,0,0,0,76,52,,
495,0,0,0,77,58,,
496,0,0,0,74,54,,
497,0,0,0,64,60,,
498,0.48,0,0,67,59,,
499,0,0,0,75,62,,
500,0.19,0,0,80,61,,
501,0.01,0,0,73,63,,
502,0.2,0,0,72,62,,
503,0.12,0,0,71,58,,
504,0,0,0,72,55,,
505,0,0,0,83,57,,
506,0,0,0,81,60,,
507,0.02,0,0,83,64,,
508,0.03,0,0,87,67,,
509,0,0,0,85,65,,
510,0,0,0,92,68,,
511,0.06,0,0,86,68,,
512,0,0,0,84,66,,
513,0,0,0,83,69,,
514,0,0,0,96,71,,
515,0,0,0,98,74,,
516,0.16,0,0,98,76,,
517,0,0,0,88,69,,
518,0,0,0,81,63,,
519,0,0,0,85,61,,
520,0,0,0,82,70,,
521,0,0,0,88,66,,
522,0,0,0,90,68,,
523,0,0,0,99,72,,
524,0,0,0,102,79,,
525,0.04,0,0,94,74,,
526,0,0,0,93,74,,
527,0.07,0,0,90,71,,
528,0,0,0,81,65,,
529,0,0,0,78,64,,
530,0,0,0,84,59,,
531,0.83,0,0,83,66,,
532,0.2,0,0,88,64,,
533,0,0,0,89,69,,
534,0.01,0,0,84,75,,
535,0.34,0,0,80,67,,
536,0.01,0,0,87,70,,
537,0,0,0,90,73,,
538,0,0,0,86,76,,
539,0,0,0,90,73,,
540,0,0,0,85,72,,
541,0.01,0,0,86,67,,
542,0.01,0,0,84,70,,
543,0,0,0,95,74,,
544,0,0,0,89,74,,
545,0,0,0,88,67,,
546,0,0,0,91,69,,
547,0,0,0,95,68,,
548,0.87,0,0,94,70,,
549,0,0,0,91,73,,
550,0,0,0,91,74,,
551,0.07,0,0,86,76,,
552,0,0,0,95,73,,
553,0.6,0,0,87,75,,
554,0,0,0,92,72,,
555,0,0,0,92,73,,
556,0,0,0,95,76,,
557,0,0,0,97,77,,
558,1.05,0,0,93,74,,
559,0,0,0,85,68,,
560,0,0,0,82,69,,
561,0,0,0,86,67,,
562,0,0,0,89,72,,
563,0,0,0,93,73,,
564,0.24,0,0,97,79,,
565,0,0,0,94,77,,
566,0,0,0,99,80,,
567,0,0,0,102,83,,
568,0,0,0,102,84,,
569,0,0,0,97,84,,
570,0.2,0,0,93,78,,
571,0,0,0,95,76,,
572,0,0,0,93,78,,
573,0,0,0,95,78,,
574,0,0,0,104,80,,
575,0,0,0,97,81,,
576,0,0,0,99,80,,
577,0,0,0,100,75,,
578,0,0,0,98,74,,
579,0.28,0,0,87,76,,
580,0.01,0,0,88,75,,
581,0,0,0,88,72,,
582,0.04,0,0,93,74,,
583,0.67,0,0,97,77,,
584,0,0,0,94,76,,
585,0,0,0,95,77,,
586,0,0,0,93,75,,
587,0,0,0,89,72,,
588,0,0,0,90,70,,
589,0.41,0,0,86,74,,
590,1.37,0,0,85,69,,
591,0,0,0,86,68,,
592,0,0,0,88,72,,
593,0,0,0,90,71,,
594,0,0,0,91,74,,
595,1.61,0,0,89,69,,
596,0,0,0,88,69,,
597,0.27,0,0,90,76,,
598,0,0,0,84,70,,
599,0,0,0,81,63,,
600,0,0,0,87,65,,
601,0.42,0,0,85,71,,
602,0.01,0,0,90,70,,
603,3.33,0,0,79,72,,
604,0.5,0,0,87,71,,
605,0,0,0,81,66,,
606,0,0,0,83,63,,
607,0,0,0,84,64,,
608,0,0,0,82,66,,
609,0.16,0,0,79,68,,
610,0,0,0,82,70,,
611,0,0,0,87,73,,
612,1.36,0,0,84,65,,
613,0.9,0,0,67,64,,
614,2.82,0,0,74,64,,
615,1.39,0,0,79,71,,
616,0.46,0,0,83,71,,
617,0,0,0,84,68,,
618,0.02,0,0,84,67,,
619,0,0,0,83,65,,
620,0,0,0,83,65,,
621,0,0,0,87,68,,
622,0.03,0,0,78,54,,
623,0,0,0,66,49,,
624,0,0,0,65,56,,
625,0,0,0,68,55,,
626,0,0,0,70,60,,
627,0.16,0,0,71,64,,
628,0.02,0,0,76,64,,
629,0,0,0,77,68,,
630,0.97,0,0,72,68,,
631,0,0,0,76,66,,
632,0.07,0,0,79,69,,
633,0,0,0,80,70,,
634,0.01,0,0,78,69,,
635,0.47,0,0,80,68,,
636,0,0,0,78,62,,
637,0,0,0,76,61,,
638,0.29,0,0,61,49,,
639,0.18,0,0,52,45,,
640,0,0,0,53,46,,
641,0,0,0,70,51,,
642,0,0,0,74,53,,
643,0,0,0,69,51,,
644,0,0,0,75,51,,
645,0,0,0,75,53,,
646,0,0,0,78,53,,
647,0,0,0,83,56,,
648,0,0,0,71,62,,
649,0.44,0,0,66,64,,
650,0.72,0,0,77,64,,
651,0.25,0,0,73,56,,
652,0,0,0,71,50,,
653,0,0,0,71,50,,
654,0,0,0,69,57,,
655,0,0,0,74,54,,
656,0.5,0,0,70,61,,
657,0,0,0,68,52,,
658,0,0,0,62,47,,
659,0,0,0,62,47,,
660,0,0,0,64,43,,
661,0.13,0,0,67,49,,
662,0,0,0,68,49,,
663,0.01,0,0,68,52,,
664,0.13,0,0,66,45,,
665,0.08,0,0,52,41,,
666,1.18,0,0,42,34,,
667,0,0,0,55,35,,
668,0,0,0,56,36,,
669,0,0,0,61,44,,
670,0,0,0,60,41,,
671,0,0,0,64,44,,
672,0,0,0,59,44,,
673,0,0,0,53,38,,
674,0,0,0,59,37,,
675,0,0,0,67,40,,
676,0,0,0,68,41,,
677,0,0,0,64,42,,
678,0.06,0,0,59,46,,
679,0,0,0,50,38,,
680,0,0,0,63,33,,
681,0,0,0,64,44,,
682,0,0,0,73,54,,
683,0,0,0,68,57,,
684,0.54,0,0,59,53,,
685,0.01,0,0,53,39,,
686,0,0,0,48,34,,
687,0,0,0,55,37,,
688,0.02,0,0,65,50,,
689,0.07,0,0,64,50,,
690,0.55,0,0,61,50,,
691,0.28,0,0,64,45,,
692,0,0,0,61,38,,
693,0,0,0,63,38,,
694,0,0,0,61,39,,
695,0,0,0,72,46,,
696,0,0,0,71,51,,
697,0.41,0,0,66,47,,
698,0,0,0,51,40,,
699,0,0,0,52,38,,
700,0,0,0,55,34,,
701,0,0,0,51,35,,
702,0,0,0,55,37,,
703,0,0,0,60,42,,
704,0.24,0,0,60,55,,
705,3.1,0,0,60,37,,
706,0,0,0,45,35,,
707,0,0,0,51,34,,
708,0,0,0,47,32,,
709,0,0,0,43,29,,
710,0,0,0,46,29,,
711,0,0,0,52,30,,
712,0,0,0,50,38,,
713,0.01,0,0,63,43,,
714,0,0,0,62,43,,
715,0,0,0,43,33,,
716,0,0,0,44,32,,
717,0,0,0,52,29,,
718,0,0,0,57,45,,
719,0.12,0,0,61,47,,
720,0.53,0,0,62,46,,
721,0.29,0,0,53,44,,
722,0,0,0,46,36,,
723,0,0,0,48,34,,
724,0,0,0,50,37,,
725,0.61,0,0,55,39,,
726,0,0,0,49,35,,
727,0,0,0,44,31,,
728,0,0,0,54,35,,
729,0,0,0,62,46,,
